province_name_th,province_name_en,region,rank_overall,overall_score,grade,tier,gate_status,energy_score_pct,water_score_pct,talent_score_pct,business_score_pct,infrastructure_score_pct,risk_score_pct,energy_score,water_score,talent_score,business_score,infrastructure_score,risk_score,EEC,Strategic,strengths,weaknesses,analyst_note,installed_mw,storage_mcm,univ_count,voc_count,boi_projects,ieat_count,dc_it_load_mw,risk_raw,lat,lng
สระแก้ว,Sa Kaeo,East,55,38.61,D,Tier 4 – Not Recommended,REVIEW,40.0,43.7,20,30.0,25,77.4,14.0,8.74,4.0,2.25,1.88,7.74,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,128.0,0,2,3,0,1,0.0,77.4,13.8241,102.0645
พัทลุง,Phatthalung,South,44,39.33,D,Tier 4 – Not Recommended,REVIEW,40.0,47.3,20,30.0,25,77.4,14.0,9.46,4.0,2.25,1.88,7.74,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,1,6,0,0,0.0,77.4,7.6166,100.074
ลำพูน,Lamphun,North,58,38.24,D,Tier 4 – Not Recommended,REVIEW,40.0,42.8,20,30.0,25,75.5,14.0,8.56,4.0,2.25,1.88,7.55,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,4,0,2,0.0,75.5,18.5748,99.0087
น่าน,Nan,North,52,38.91,D,Tier 4 – Not Recommended,REVIEW,40.0,46.4,20,30.0,25,75.0,14.0,9.28,4.0,2.25,1.88,7.5,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,4,0,0,0.0,75.0,18.7756,100.773
บึงกาฬ,Bueng Kan,Northeast,49,39.05,D,Tier 4 – Not Recommended,REVIEW,40.0,47.3,20,30.0,25,74.6,14.0,9.46,4.0,2.25,1.88,7.46,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,1,2,0,0,0.0,74.6,18.3609,103.6461
หนองบัวลำภู,Nong Bua Lam Phu,Northeast,60,38.13,D,Tier 4 – Not Recommended,REVIEW,40.0,42.7,20,30.0,25,74.6,14.0,8.54,4.0,2.25,1.88,7.46,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,2,0,0,0.0,74.6,17.2033,102.426
อำนาจเจริญ,Amnat Charoen,Northeast,61,37.95,D,Tier 4 – Not Recommended,REVIEW,40.0,43.9,20,30.0,25,70.4,14.0,8.78,4.0,2.25,1.88,7.04,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,2,0,0,0.0,70.4,15.8656,104.6259
มุกดาหาร,Mukdahan,Northeast,57,38.31,D,Tier 4 – Not Recommended,REVIEW,40.0,45.7,20,30.0,25,70.4,14.0,9.14,4.0,2.25,1.88,7.04,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,44.85,0,2,4,0,0,0.0,70.4,16.5432,104.7234
สมุทรสงคราม,Samut Songkhram,Central,40,39.61,D,Tier 4 – Not Recommended,REVIEW,40.0,53.6,20,30.0,25,67.6,14.0,10.72,4.0,2.25,1.88,6.76,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,3,0,0,0.0,67.6,13.4098,100.0022
นราธิวาส,Narathiwat,South,50,38.99,D,Tier 4 – Not Recommended,REVIEW,40.0,50.5,20,30.0,25,67.6,14.0,10.1,4.0,2.25,1.88,6.76,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,2,0,0,0.0,67.6,6.4254,101.8253
กำแพงเพชร,Kamphaeng Phet,North,75,33.77,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,20,30.0,25,56.4,14.0,6.0,4.0,2.25,1.88,5.64,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,20.0,0,2,4,0,0,0.0,56.4,16.4826,99.5226
แม่ฮ่องสอน,Mae Hong Son,North,64,37.7,D,Tier 4 – Not Recommended,REVIEW,40.0,50.1,20,30.0,25,55.5,14.0,10.02,4.0,2.25,1.88,5.55,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,2,0,0,0.0,55.5,19.302,97.9654
นครพนม,Nakhon Phanom,Northeast,70,36.06,D,Tier 4 – Not Recommended,REVIEW,40.0,43.9,20,30.0,25,51.5,14.0,8.78,4.0,2.25,1.88,5.15,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,4,0,0,0.0,51.5,17.392,104.7693
พิจิตร,Phichit,North,76,33.07,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,20,30.0,25,49.4,14.0,6.0,4.0,2.25,1.88,4.94,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,48.5,0,2,3,0,1,0.0,49.4,16.4426,100.3489
ชัยนาท,Chainat,Central,77,32.58,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,20,30.0,25,44.5,14.0,6.0,4.0,2.25,1.88,4.45,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,6.0,0,1,3,0,0,0.0,44.5,15.1851,100.1253
อ่างทอง,Ang Thong,Central,73,34.27,D,Tier 4 – Not Recommended,REVIEW,40.0,39.5,20,30.0,25,42.4,14.0,7.9,4.0,2.25,1.88,4.24,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,124.51,0,1,3,0,1,0.0,42.4,14.5896,100.455
สิงห์บุรี,Sing Buri,Central,74,34.11,D,Tier 4 – Not Recommended,REVIEW,40.0,39.4,20,30.0,25,41.0,14.0,7.88,4.0,2.25,1.88,4.1,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,0,5,0,0,0.0,41.0,14.8921,100.4009
